Datum ;Zeit ;AT [°C];ATakt [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;HK1 Fernb[°C];HK1 Status;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;WW1 Status;Sensor ext [°C];PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 FRT End[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Fuellstand[kg];PE1 Fuellstand ZWB[kg];PE1 Status;PE1 Statusbit;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;PE1 CntDig1;PE1 Ashfill[kg];PE1 Runtime[h];Fehler1 ;Fehler2 ;Fehler3 ;
20.09.2025;00:03:51;21,6;21,5;0;28,1;8,0;22,2;8,0;0;0;0,0;8;30,8;30,8;31,0;0;16648;20,3;41,0;70,0;60,0;0;40,5;8,0;8,0;0,00;0,00;0;0;47,6;139,0;6000;0;11;2048;0;0;0;0;0;0;0;0;0;0;1;28,1;30,8;1;0;0;0;0;0;0;0,0;5821;5003500;0;0;
20.09.2025;00:04:51;21,6;21,5;0;28,1;8,0;22,3;8,0;0;0;0,0;8;30,8;30,8;31,0;0;16648;20,4;41,0;70,0;60,0;0;40,5;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;11;2048;0;0;0;0;0;0;0;0;0;0;1;28,1;30,8;1;0;0;0;0;0;0;0,0;5821;5003500;0;0;
20.09.2025;00:05:51;21,5;21,5;0;28,1;8,0;22,3;8,0;0;0;0,0;8;30,8;30,8;31,0;0;16648;20,3;40,9;70,0;60,0;0;40,4;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;11;2048;0;0;0;0;0;0;0;0;0;0;1;28,1;30,8;1;0;0;0;0;0;0;0,0;5821;5003500;0;0;
20.09.2025;00:06:51;21,5;21,5;0;28,1;8,0;22,3;8,0;0;0;0,0;8;30,8;30,8;31,0;0;16648;20,2;40,9;70,0;60,0;0;40,4;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;11;2048;0;0;0;0;0;0;0;0;0;0;1;28,1;30,8;1;0;0;0;0;0;0;0,0;5821;5003500;0;0;
20.09.2025;00:07:51;21,5;21,5;0;28,1;8,0;22,2;8,0;0;0;0,0;8;30,8;30,8;31,0;0;16648;20,1;40,9;70,0;60,0;0;40,5;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;11;2048;0;0;0;0;0;0;0;0;0;0;1;28,1;30,8;1;0;0;0;0;0;0;0,0;5821;5003500;0;0;
20.09.2025;00:08:51;21,5;21,5;0;28,1;8,0;22,2;8,0;0;0;0,0;8;30,8;30,8;31,0;0;16648;20,4;40,9;70,0;60,0;0;40,5;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;11;2048;0;0;0;0;0;0;0;0;0;0;1;28,1;30,8;1;0;0;0;0;0;0;0,0;5821;5003500;0;0;
20.09.2025;00:09:51;21,5;21,6;0;28,1;8,0;22,2;8,0;0;0;0,0;8;30,8;30,8;31,0;0;16648;20,1;40,9;70,0;60,0;0;40,4;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;11;2048;0;0;0;0;0;0;0;0;0;0;1;28,1;30,8;1;0;0;0;0;0;0;0,0;5821;5003500;0;0;
20.09.2025;00:10:51;21,5;21,6;0;28,1;8,0;22,2;8,0;0;0;0,0;8;30,8;30,8;31,0;0;16648;20,3;40,9;70,0;60,0;0;40,4;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;11;2048;0;0;0;0;0;0;0;0;0;0;1;28,1;30,8;1;0;0;0;0;0;0;0,0;5821;5003500;0;0;
20.09.2025;00:11:51;21,5;21,6;0;28,1;8,0;22,2;8,0;0;0;0,0;8;30,8;30,8;31,0;0;16648;20,3;40,9;70,0;60,0;0;40,4;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;11;2048;0;0;0;0;0;0;0;0;0;0;1;28,1;30,8;1;0;0;0;0;0;0;0,0;5821;5003500;0;0;
20.09.2025;00:12:51;21,5;21,6;0;28,1;8,0;22,3;8,0;0;0;0,0;8;30,8;30,8;31,0;0;16648;20,2;40,9;70,0;60,0;0;40,5;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;11;2048;0;0;0;0;0;0;0;0;0;0;1;28,1;30,8;1;0;0;0;0;0;0;0,0;5821;5003500;0;0;
