Datum ;Zeit ;AT [°C];ATakt [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;HK1 Fernb[°C];HK1 Status;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;WW1 Status;Sensor ext [°C];PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 FRT End[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Fuellstand[kg];PE1 Fuellstand ZWB[kg];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;PE1 CntDig1;PE1 Ashfill[kg];Fehler1 ;Fehler2 ;Fehler3 ;
14.03.2023;00:03:39;14,0;14,0;0;32,5;8,0;18,4;8,0;0;0;0,0;2064;56,3;56,3;25,0;0;8200;16,5;73,8;8,0;60,0;0;77,3;8,0;8,0;0,00;0,00;0;0;46,4;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,5;56,3;1;1;0;105;0;0;0;0,0;0;0;0;
14.03.2023;00:04:39;14,0;13,9;0;32,5;8,0;18,4;8,0;0;0;0,0;2064;56,3;56,3;25,0;0;8200;16,5;73,8;8,0;60,0;0;77,2;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,5;56,3;1;1;0;105;0;0;0;0,0;0;0;0;
14.03.2023;00:05:39;14,0;13,9;0;32,4;8,0;18,4;8,0;0;0;0,0;2064;56,3;56,3;25,0;0;8200;16,8;73,8;8,0;60,0;0;77,2;8,0;8,0;0,00;0,00;0;0;46,4;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;56,3;1;1;0;105;0;0;0;0,0;0;0;0;
14.03.2023;00:06:39;14,0;13,9;0;32,5;8,0;18,5;8,0;0;0;0,0;2064;56,3;56,3;25,0;0;8200;16,5;73,8;8,0;60,0;0;77,2;8,0;8,0;0,00;0,00;0;0;46,4;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,5;56,3;1;1;0;105;0;0;0;0,0;0;0;0;
14.03.2023;00:07:39;14,0;13,9;0;32,4;8,0;18,5;8,0;0;0;0,0;2064;56,2;56,2;25,0;0;8200;16,5;73,8;8,0;60,0;0;77,1;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;56,2;1;1;0;105;0;0;0;0,0;0;0;0;
14.03.2023;00:08:39;14,0;14,0;0;32,4;8,0;18,4;8,0;0;0;0,0;2064;56,2;56,2;25,0;0;8200;16,5;73,7;8,0;60,0;0;77,0;8,0;8,0;0,00;0,00;0;0;46,4;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;56,2;1;1;0;105;0;0;0;0,0;0;0;0;
14.03.2023;00:09:39;14,0;13,9;0;32,4;8,0;18,5;8,0;0;0;0,0;2064;56,2;56,2;25,0;0;8200;16,6;73,7;8,0;60,0;0;77,0;8,0;8,0;0,00;0,00;0;0;46,4;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;56,2;1;1;0;105;0;0;0;0,0;0;0;0;
14.03.2023;00:10:39;14,0;13,9;0;32,4;8,0;18,5;8,0;0;0;0,0;2064;56,2;56,2;25,0;0;8200;16,4;73,7;8,0;60,0;0;77,0;8,0;8,0;0,00;0,00;0;0;46,4;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;56,2;1;1;0;105;0;0;0;0,0;0;0;0;
14.03.2023;00:11:39;14,0;13,9;0;32,4;8,0;18,5;8,0;0;0;0,0;2064;56,1;56,1;25,0;0;8200;16,6;73,7;8,0;60,0;0;76,9;8,0;8,0;0,00;0,00;0;0;46,4;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;56,1;1;1;0;105;0;0;0;0,0;0;0;0;
14.03.2023;00:12:39;14,0;13,9;0;32,4;8,0;18,5;8,0;0;0;0,0;2064;56,1;56,1;25,0;0;8200;16,5;73,7;8,0;60,0;0;76,9;8,0;8,0;0,00;0,00;0;0;46,4;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;56,1;1;1;0;105;0;0;0;0,0;0;0;0;
