Datum ;Zeit ;AT [°C];ATakt [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;HK1 Fernb[°C];HK1 Status;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;WW1 Status;Sensor ext [°C];PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 FRT End[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Fuellstand[kg];PE1 Fuellstand ZWB[kg];PE1 Status;PE1 Statusbit;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;PE1 CntDig1;PE1 Ashfill[kg];PE1 Runtime[h];Fehler1 ;Fehler2 ;Fehler3 ;
25.05.2025;00:03:47;18,0;17,9;0;33,2;8,0;18,8;8,0;0;0;0,0;8;54,6;54,6;25,0;0;8200;16,8;62,8;8,0;60,0;0;63,4;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;99;-2147483648;0;0;0;0;0;0;0;0;0;0;0;33,2;54,6;1;0;0;107;0;0;0;0,0;5626;0;0;0;
25.05.2025;00:04:47;18,0;17,9;0;33,2;8,0;18,8;8,0;0;0;0,0;8;54,5;54,5;25,0;0;8200;17,1;62,8;8,0;60,0;0;63,4;8,0;8,0;0,00;0,00;0;0;47,6;139,0;6000;0;99;-2147483648;0;0;0;0;0;0;0;0;0;0;0;33,2;54,5;1;0;0;107;0;0;0;0,0;5626;0;0;0;
25.05.2025;00:05:47;18,0;17,9;0;33,2;8,0;18,8;8,0;0;0;0,0;8;54,6;54,6;25,0;0;8200;16,9;62,8;8,0;60,0;0;63,4;8,0;8,0;0,00;0,00;0;0;47,6;139,0;6000;0;99;-2147483648;0;0;0;0;0;0;0;0;0;0;0;33,2;54,6;1;0;0;107;0;0;0;0,0;5626;0;0;0;
25.05.2025;00:06:47;18,0;17,9;0;33,2;8,0;18,8;8,0;0;0;0,0;8;54,6;54,6;25,0;0;8200;17,2;62,7;8,0;60,0;0;63,3;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;99;-2147483648;0;0;0;0;0;0;0;0;0;0;0;33,2;54,6;1;0;0;107;0;0;0;0,0;5626;0;0;0;
25.05.2025;00:07:47;18,0;17,9;0;33,1;8,0;18,8;8,0;0;0;0,0;8;54,5;54,5;25,0;0;8200;16,8;62,7;8,0;60,0;0;63,3;8,0;8,0;0,00;0,00;0;0;47,6;139,0;6000;0;99;-2147483648;0;0;0;0;0;0;0;0;0;0;0;33,1;54,5;1;0;0;107;0;0;0;0,0;5626;0;0;0;
25.05.2025;00:08:47;17,9;17,9;0;33,2;8,0;18,8;8,0;0;0;0,0;8;54,5;54,5;25,0;0;8200;16,8;62,7;8,0;60,0;0;63,3;8,0;8,0;0,00;0,00;0;0;47,6;139,0;6000;0;99;-2147483648;0;0;0;0;0;0;0;0;0;0;0;33,2;54,5;1;0;0;107;0;0;0;0,0;5626;0;0;0;
25.05.2025;00:09:47;17,9;17,9;0;33,1;8,0;18,8;8,0;0;0;0,0;8;54,5;54,5;25,0;0;8200;17,3;62,7;8,0;60,0;0;63,3;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;99;-2147483648;0;0;0;0;0;0;0;0;0;0;0;33,1;54,5;1;0;0;107;0;0;0;0,0;5626;0;0;0;
25.05.2025;00:10:47;17,9;17,9;0;33,1;8,0;18,8;8,0;0;0;0,0;8;54,5;54,5;25,0;0;8200;16,8;62,6;8,0;60,0;0;63,3;8,0;8,0;0,00;0,00;0;0;47,6;139,0;6000;0;99;-2147483648;0;0;0;0;0;0;0;0;0;0;0;33,1;54,5;1;0;0;107;0;0;0;0,0;5626;0;0;0;
25.05.2025;00:11:47;17,9;17,9;0;33,1;8,0;18,9;8,0;0;0;0,0;8;54,5;54,5;25,0;0;8200;16,8;62,6;8,0;60,0;0;63,2;8,0;8,0;0,00;0,00;0;0;47,6;139,0;6000;0;99;-2147483648;0;0;0;0;0;0;0;0;0;0;0;33,1;54,5;1;0;0;107;0;0;0;0,0;5626;0;0;0;
25.05.2025;00:12:47;17,9;17,9;0;33,1;8,0;18,9;8,0;0;0;0,0;8;54,5;54,5;25,0;0;8200;16,8;62,6;8,0;60,0;0;63,2;8,0;8,0;0,00;0,00;0;0;47,5;139,0;6000;0;99;-2147483648;0;0;0;0;0;0;0;0;0;0;0;33,1;54,5;1;0;0;107;0;0;0;0,0;5626;0;0;0;
